# Serious Injuries,# Visible Injuries,Agency Name (Crash Level) ,Date,Intersection Name (from Crash Report),KABCO Severity,Light Conditions (Crash Level),Location at Impact (Crash Level) ,Manner of Collision (Crash Level) ,Roadway (From Crash Report),Surface Condition (Crash Level) ,Time,Safety Equipment (Crash Level) ,Weather Conditions (Crash Level),# of Fatalities per Crash,Latitude,Longitude,Geolocated City,Geolocated County,Vehicle Condition (excluding No Known Defects),First Harmful Event (Unit Order),"Operator/Pedestrian Contrib Factor (excl None, Other, No Contrib Factors)",Most Harmful Event (Crash Level),crash_mode
0.0,0.0,Dekalb Co Police Department,2024-10-03,Redan Rd and Covington Hwy,(K) Fatal Injury,Dark-Not Lighted,On Roadway - In Crosswalk,Not a Collision with Motor Vehicle,Covington Hwy,Dry,06:03:00,"[""None Used"",""Unknown""]",Clear,1.0,33.75919206,-84.24082145,Unincorporated,DeKalb,,"[""Motor Vehicle in Motion"",""Pedestrian""]","[""Disregard Stop Sign/Signal"",""Not Visible (Object, Person, or Vehicle)""]","[""Motor Vehicle in Motion"",""Pedestrian""]",Pedestrian
0.0,1.0,Atlanta Police Department,2024-10-13,Memorial Dr Se and Oakridge Ave Se,(B) Suspected Minor/Visible Injury,Daylight,On Roadway - Non-Intersection,Not a Collision with Motor Vehicle,Memorial Dr Se,Dry,10:13:00,"[""Lap and Shoulder Belt Used"",""None Used""]",Clear,0.0,33.74706516,-84.29392898,Atlanta,DeKalb,,"[""Motor Vehicle in Motion"",""Pedestrian""]","[""Other Unit Contributed to Crash"",""Reaction to Object or Animal""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Pedestrian
0.0,0.0,Decatur Police Department,2024-10-16,E Court Square and E Ponce De Leon Ave,(C) Possible Injury / Complaint,Dark-Lighted,On Roadway - Non-Intersection,Not a Collision with Motor Vehicle,E Ponce De Leon Ave,Dry,19:20:00,Lap and Shoulder Belt Used,Clear,0.0,33.77551722,-84.29586257,Decatur,DeKalb,,"[""Pedestrian"",""Motor Vehicle in Motion""]",,"[""Pedestrian"",""Motor Vehicle in Motion""]",Pedestrian
0.0,0.0,Atlanta Police Department,2024-10-18,Warren St Se and Hosea L Williams Dr Se,(C) Possible Injury / Complaint,Daylight,On Roadway - In Crosswalk,Not a Collision with Motor Vehicle,Hosea L Williams Dr Se,Dry,16:10:00,Unknown,Clear,0.0,33.75335079,-84.32621816,Atlanta,DeKalb,,"[""Pedestrian"",""Motor Vehicle in Motion""]","[""Failure to Yield"",""Other Unit Contributed to Crash""]","[""Pedestrian"",""Motor Vehicle in Motion""]",Pedestrian
0.0,0.0,Atlanta Police Department,2024-10-22,Flat Shoals Ave Se and Metropolitan Ave Se,(C) Possible Injury / Complaint,Daylight,On Roadway - Roadway Intersection,Not a Collision with Motor Vehicle,Metropolitan Ave Se,Dry,15:00:00,"[""Unknown"",""None Used""]",Clear,0.0,33.7418858,-84.34723889,Atlanta,DeKalb,,"[""Motor Vehicle in Motion"",""Pedestrian""]","[""Inattentive or Other Distraction (Distracted)"",""Other Unit Contributed to Crash""]","[""Motor Vehicle in Motion"",""Pedestrian""]",Pedestrian
0.0,0.0,Dekalb Co Police Department,2024-11-01,Hyland Dr and Columbia Dr,(O) No Injury,Daylight,Off Roadway - Sidewalk,Not a Collision with Motor Vehicle,Columbia Dr,Dry,08:11:00,"[""Unknown"",""Unknown"",""Unknown""]",Clear,0.0,33.72970297,-84.25215531,Unincorporated,DeKalb,,"[""Motor Vehicle in Motion"",""Pedestrian"",""Pedestrian""]",Failure to Yield,"[""Motor Vehicle in Motion"",""Pedestrian"",""Pedestrian""]",Pedestrian
0.0,0.0,Dekalb Co Police Department,2024-11-02,Starvine Way and Clairmont Rd,(O) No Injury,Dark-Lighted,On Roadway - In Crosswalk,Not a Collision with Motor Vehicle,Clairmont Rd,Dry,23:13:00,"[""Unknown"",""None Used""]",Clear,0.0,33.79879011,-84.30732268,Atlanta,DeKalb,,"[""Pedestrian"",""Motor Vehicle in Motion""]","[""Failure to Yield"",""Other Unit Contributed to Crash""]","[""Pedestrian"",""Motor Vehicle in Motion""]",Pedestrian
0.0,0.0,Decatur Police Department,2024-11-10,Midway Rd and S Candler St,(C) Possible Injury / Complaint,Dark-Not Lighted,On Roadway - Roadway Intersection,Not a Collision with Motor Vehicle,S Candler St,Dry,22:30:00,Lap and Shoulder Belt Used,Clear,0.0,33.75773772,-84.29124775,Decatur,DeKalb,,"[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Failure to Yield,"[""Pedestrian"",""Pedestrian""]",Pedestrian
0.0,0.0,Atlanta Police Department,2024-11-12,Briarcliff Rd Ne and Lullwater Park Cir,(O) No Injury,Daylight,On Roadway - In Crosswalk,Not a Collision with Motor Vehicle,Briarcliff Rd Ne,Dry,11:00:00,,Clear,0.0,33.77728192,-84.34716959,Atlanta,DeKalb,,"[""Motor Vehicle in Motion"",""Pedestrian""]",,Pedestrian,Pedestrian
0.0,1.0,Atlanta Police Department,2024-11-12,Flat Shoals Rd Se and Fayetteville Rd Se,(B) Suspected Minor/Visible Injury,Daylight,On Roadway - In Crosswalk,Not a Collision with Motor Vehicle,Flat Shoals Rd Se,Dry,16:55:00,"[""Unknown"",""None Used""]",Clear,0.0,33.7259564,-84.32259135,Atlanta,DeKalb,,"[""Pedestrian"",""Pedestrian""]","[""Other Unit Contributed to Crash"",""Inattentive or Other Distraction (Distracted)""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Pedestrian
0.0,0.0,Dekalb Co Police Department,2024-11-14,N Jamestown Rd and N Druid Hills Rd,(C) Possible Injury / Complaint,Daylight,On Roadway - Non-Intersection,Not a Collision with Motor Vehicle,N Jamestown Rd,Dry,17:00:00,None Used,Clear,0.0,33.81174167,-84.3064304,Unincorporated,DeKalb,,"[""Pedestrian"",""Motor Vehicle in Motion""]","[""Failure to Yield"",""Other Unit Contributed to Crash""]","[""Pedestrian"",""Motor Vehicle in Motion""]",Pedestrian
0.0,1.0,Dekalb Co Police Department,2024-11-27,Jody Ln and Lavista Rd,(B) Suspected Minor/Visible Injury,Daylight,On Roadway - In Crosswalk,Not a Collision with Motor Vehicle,Lavista Rd,Dry,13:34:00,"[""Lap and Shoulder Belt Used"",""None Used""]",Clear,0.0,33.81505539,-84.32093484,Unincorporated,DeKalb,,"[""Pedestrian"",""Motor Vehicle in Motion""]","[""Failure to Yield"",""Other Unit Contributed to Crash""]","[""Pedestrian"",""Motor Vehicle in Motion""]",Pedestrian
0.0,0.0,Atlanta Police Department,2024-11-30,Caroline St Ne and Seaboard Ave Ne,(C) Possible Injury / Complaint,Daylight,On Roadway - In Crosswalk,Not a Collision with Motor Vehicle,Caroline St Ne,Dry,13:30:00,Unknown,Clear,0.0,33.75844903,-84.34766402,Atlanta,DeKalb,,"[""Pedestrian"",""Pedestrian""]","[""Failure to Yield"",""Other Unit Contributed to Crash""]","[""Pedestrian"",""Pedestrian""]",Pedestrian
0.0,0.0,Dekalb Co Police Department,2024-12-02,Winfair Ln and Briarcliff Rd,(C) Possible Injury / Complaint,Dark-Lighted,On Roadway - Driveway Intersection,Not a Collision with Motor Vehicle,Briarcliff Rd,Dry,19:57:00,"[""Unknown"",""Unknown""]",Clear,0.0,33.81809466,-84.3352393,Unincorporated,DeKalb,,"[""Pedestrian"",""Pedestrian""]",Failure to Yield,"[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Pedestrian
0.0,0.0,Dekalb Co Police Department,2024-12-03,N Indian Creek Dr and E Ponce De Leon Ave,(C) Possible Injury / Complaint,Daylight,On Roadway - In Crosswalk,Not a Collision with Motor Vehicle,E Ponce De Leon Ave,Dry,13:00:00,"[""Unknown"",""Unknown""]",Clear,0.0,33.80674808,-84.24182173,Clarkston,DeKalb,,"[""Pedestrian"",""Motor Vehicle in Motion""]","[""Failure to Yield"",""Disregard Other Traffic Control""]","[""Pedestrian"",""Motor Vehicle in Motion""]",Pedestrian
0.0,0.0,Dekalb Co Police Department,2024-12-03,Leeland Rd and Columbia Dr,(C) Possible Injury / Complaint,Daylight,On Roadway - Non-Intersection,Not a Collision with Motor Vehicle,Columbia Dr,Dry,16:09:00,None Used,Clear,0.0,33.7509806,-84.26473473,Unincorporated,DeKalb,,"[""Pedestrian"",""Motor Vehicle in Motion""]",,"[""Pedestrian"",""Motor Vehicle in Motion""]",Pedestrian
0.0,1.0,Decatur Police Department,2024-12-04,Commerce Dr and W Ponce De Leon Ave,(B) Suspected Minor/Visible Injury,Dusk,On Roadway - In Crosswalk,Not a Collision with Motor Vehicle,W Ponce De Leon Ave,Dry,16:19:00,Lap and Shoulder Belt Used,Clear,0.0,33.77556682,-84.29886198,Decatur,DeKalb,,"[""Motor Vehicle in Motion"",""Pedestrian""]",Failure to Yield,"[""Pedestrian"",""Pedestrian""]",Pedestrian
0.0,0.0,Dekalb Co Police Department,2024-12-05,Mcafee Rd and Columbia Dr,(K) Fatal Injury,Daylight,On Roadway - Roadway Intersection,Head On,Columbia Dr,Dry,06:41:00,"[""Unknown"",""Unknown""]",Clear,1.0,33.73161247,-84.25214881,Unincorporated,DeKalb,,"[""Pedestrian"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",,"[""Pedestrian"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Pedestrian
0.0,0.0,Decatur Police Department,2024-12-07,Commerce Dr and Clairemont Ave,(C) Possible Injury / Complaint,Daylight,Off Roadway,Not a Collision with Motor Vehicle,Clairemont Ave,Dry,15:05:00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]",Clear,0.0,33.77888771,-84.29647623,Decatur,DeKalb,,"[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Other Exterior Distraction (Distracted),"[""Utility Pole"",""Pedestrian""]",Pedestrian
0.0,0.0,Gsp Post 00,2024-12-16,Ousley Ct and 2263 Sheryl Court,(O) No Injury,Daylight,Off Roadway,Not a Collision with Motor Vehicle,2263 Sheryl Court,Dry,15:27:00,"[""None Used"",""Lap and Shoulder Belt Used""]",Clear,0.0,33.72342118,-84.28133397,Unincorporated,DeKalb,,"[""Motor Vehicle in Motion"",""Pedestrian""]","[""Disregard Police - Evasion"",""Other Unit Contributed to Crash""]","[""Motor Vehicle in Motion"",""Pedestrian""]",Pedestrian
0.0,0.0,Dekalb Co Police Department,2024-12-20,Shepherds Ln and Briarcliff Rd,(C) Possible Injury / Complaint,Dark-Lighted,On Roadway - Roadway Intersection,Not a Collision with Motor Vehicle,Shepherds Ln,Dry,18:50:00,"[""Lap and Shoulder Belt Used"",""None Used""]",Clear,0.0,33.80735135,-84.33585196,Unincorporated,DeKalb,,"[""Motor Vehicle in Motion"",""Pedestrian""]",,"[""Pedestrian"",""Pedestrian""]",Pedestrian
0.0,0.0,Atlanta Police Department,2024-12-21,Josephine St Ne and Moreland Ave Ne,(O) No Injury,Daylight,On Roadway - Roadway Intersection,Not a Collision with Motor Vehicle,Moreland Ave Ne,Dry,11:24:00,"[""Unknown"",""Unknown""]",Clear,0.0,33.76218106,-84.3491659,Atlanta,DeKalb,,"[""Other Object (Not Fixed)"",""Other Object (Not Fixed)""]","[""Failure to Yield"",""Other Unit Contributed to Crash""]","[""Pedestrian"",""Pedal-Cycle""]",Pedestrian
0.0,0.0,Dekalb Co Police Department,2025-01-09,Memorial Dr and Columbia Dr,(C) Possible Injury / Complaint,Daylight,On Roadway - In Crosswalk,Not a Collision with Motor Vehicle,Columbia Dr,Dry,17:10:00,None Used,Clear,0.0,33.75439013,-84.2670991,Unincorporated,DeKalb,,"[""Pedestrian"",""Motor Vehicle in Motion""]","[""Failure to Yield"",""Other Unit Contributed to Crash""]","[""Pedestrian"",""Pedestrian""]",Pedestrian
0.0,0.0,Decatur Police Department,2025-01-13,Sycamore Dr and E Ponce De Leon Ave,(C) Possible Injury / Complaint,Dark-Lighted,On Roadway - Roadway Intersection,Not a Collision with Motor Vehicle,Sycamore Dr,Dry,19:10:00,Lap and Shoulder Belt Used,Clear,0.0,33.77613757,-84.28282005,Decatur,DeKalb,,"[""Pedestrian"",""Motor Vehicle in Motion""]",Failure to Yield,"[""Pedestrian"",""Motor Vehicle in Motion""]",Pedestrian
0.0,0.0,Dekalb Co Police Department,2025-01-16,Canal St and Covington Hwy,(O) No Injury,Daylight,On Roadway - In Crosswalk,Not a Collision with Motor Vehicle,Canal St,Dry,16:19:00,"[""None Used"",""Lap and Shoulder Belt Used""]",Clear,0.0,33.75998704,-84.24194807,Unincorporated,DeKalb,,"[""Pedestrian"",""Pedestrian""]","[""Failure to Yield"",""Other Unit Contributed to Crash""]","[""Pedestrian"",""Pedestrian""]",Pedestrian
0.0,0.0,Dekalb Co Police Department,2025-01-25,Azalea Cir and N Druid Hills Rd,(C) Possible Injury / Complaint,Daylight,On Roadway - In Crosswalk,Not a Collision with Motor Vehicle,N Druid Hills Rd,Dry,10:20:00,"[""Unknown"",""Unknown"",""None Used""]",Clear,0.0,33.8146911,-84.30956856,Unincorporated,DeKalb,,"[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",,"[""Pedestrian"",""Pedestrian""]",Pedestrian
0.0,0.0,Dekalb Co Police Department,2025-02-11,Church St and N Decatur Rd,(O) No Injury,Daylight,On Roadway - Non-Intersection,Not a Collision with Motor Vehicle,N Decatur Rd,Wet,14:45:00,"[""None Used"",""Lap and Shoulder Belt Used""]",Cloudy,0.0,33.7922338,-84.28526162,Unincorporated,DeKalb,,"[""Motor Vehicle in Motion"",""Pedestrian""]",Other Unit Contributed to Crash,"[""Motor Vehicle in Motion"",""Pedestrian""]",Pedestrian
0.0,0.0,Dekalb Co Police Department,2025-02-27,Blackmon Dr and N Decatur Rd,(C) Possible Injury / Complaint,Dark-Lighted,On Roadway - Roadway Intersection,Not a Collision with Motor Vehicle,N Decatur Rd,Dry,20:01:00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""None Used""]",Clear,0.0,33.79247113,-84.28708723,Unincorporated,DeKalb,,"[""Pedestrian"",""Motor Vehicle in Motion""]","[""Failure to Yield"",""Other Unit Contributed to Crash""]","[""Pedestrian"",""Motor Vehicle in Motion""]",Pedestrian
0.0,0.0,Decatur Police Department,2025-02-27,Commerce Dr and N Candler St,(O) No Injury,Daylight,On Roadway - Roadway Intersection,Head On,Commerce Dr,Dry,17:22:00,Lap and Shoulder Belt Used,Clear,0.0,33.77772883,-84.29261833,Decatur,DeKalb,,"[""Motor Vehicle in Motion"",""Pedestrian""]",,Motor Vehicle in Motion,Pedestrian
0.0,1.0,Dekalb Co Police Department,2025-03-04,N Decatur Ln and N Decatur Rd,(B) Suspected Minor/Visible Injury,Daylight,On Roadway - Non-Intersection,Not a Collision with Motor Vehicle,N Decatur Rd,Dry,14:51:00,None Used,Clear,0.0,33.79359011,-84.27820302,Unincorporated,DeKalb,,"[""Pedestrian"",""Motor Vehicle in Motion""]",,"[""Pedestrian"",""Motor Vehicle in Motion""]",Pedestrian
0.0,0.0,Dekalb Co Police Department,2025-03-06,Clifton Rd and Briarcliff Rd,(O) No Injury,Daylight,On Roadway - Roadway Intersection,Not a Collision with Motor Vehicle,Clifton Rd,Dry,17:47:00,"[""None Used"",""Unknown""]",Clear,0.0,33.80618775,-84.33598246,Unincorporated,DeKalb,,"[""Pedestrian"",""Motor Vehicle in Motion""]",,"[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Pedestrian
0.0,0.0,Dekalb Co Police Department,2025-03-18,Rupert Rd and Catalina Dr,(C) Possible Injury / Complaint,Daylight,On Roadway - Roadway Intersection,Not a Collision with Motor Vehicle,Rupert Rd,Dry,13:00:00,"[""Unknown"",""None Used""]",Clear,0.0,33.7484335,-84.27480426,Unincorporated,DeKalb,,"[""Motor Vehicle in Motion"",""Pedestrian""]","[""Failure to Yield"",""Not Visible (Object, Person, or Vehicle)""]","[""Motor Vehicle in Motion"",""Pedestrian""]",Pedestrian
0.0,1.0,Dekalb Co Police Department,2025-04-01,Toney Dr and Candler Rd,(B) Suspected Minor/Visible Injury,Daylight,On Roadway - Roadway Intersection,Not a Collision with Motor Vehicle,Toney Dr,Dry,17:04:00,"[""Lap and Shoulder Belt Used"",""None Used""]",Clear,0.0,33.72253068,-84.27760222,Unincorporated,DeKalb,,"[""Motor Vehicle in Motion"",""Pedestrian""]","[""Failure to Yield"",""Other Unit Contributed to Crash""]","[""Motor Vehicle in Motion"",""Pedestrian""]",Pedestrian
0.0,0.0,Dekalb Co Police Department,2025-04-01,Memorial Dr and Covington Hwy,(K) Fatal Injury,Daylight,On Roadway - Non-Intersection,Not a Collision with Motor Vehicle,Covington Hwy,Dry,14:46:00,"[""None Used"",""Unknown""]",Clear,1.0,33.76794841,-84.25136414,Unincorporated,DeKalb,,"[""Motor Vehicle in Motion"",""Pedestrian""]",Other Unit Contributed to Crash,"[""Motor Vehicle in Motion"",""Pedestrian""]",Pedestrian
0.0,1.0,Dekalb Co Police Department,2025-04-04,Tyler Way and Belmont Dr,(B) Suspected Minor/Visible Injury,Dark-Not Lighted,On Roadway - Non-Intersection,Not a Collision with Motor Vehicle,Tyler Way,Dry,22:04:00,None Used,Clear,0.0,33.72313788,-84.28728263,Unincorporated,DeKalb,,"[""Motor Vehicle in Motion"",""Pedestrian""]",,"[""Motor Vehicle in Motion"",""Pedestrian""]",Pedestrian
0.0,1.0,Dekalb Co Police Department,2025-04-07,Redan Rd and Covington Hwy,(B) Suspected Minor/Visible Injury,Dark-Not Lighted,On Roadway - Non-Intersection,Not a Collision with Motor Vehicle,Covington Hwy,Dry,23:43:00,"[""Unknown"",""Unknown""]",Clear,0.0,33.75858452,-84.24019036,Unincorporated,DeKalb,,"[""Pedestrian"",""Motor Vehicle in Motion""]",Other Unit Contributed to Crash,"[""Pedestrian"",""Motor Vehicle in Motion""]",Pedestrian
0.0,0.0,Dekalb Co Police Department,2025-04-09,Clairmont Rd and Clairmont Cir,(C) Possible Injury / Complaint,Daylight,On Roadway - Roadway Intersection,Not a Collision with Motor Vehicle,Clairmont Cir,Dry,14:09:00,"[""Unknown"",""None Used""]",Clear,0.0,33.79500515,-84.30557472,Unincorporated,DeKalb,,"[""Pedestrian"",""Motor Vehicle in Motion""]","[""Failure to Yield"",""Other Unit Contributed to Crash""]","[""Pedestrian"",""Motor Vehicle in Motion""]",Pedestrian
0.0,0.0,Emory Police Department,2025-04-12,Towers Cir Ne and Clifton Rd Ne,(C) Possible Injury / Complaint,Daylight,On Roadway - In Crosswalk,Not a Collision with Motor Vehicle,Clifton Rd Ne,Dry,16:25:00,"[""Lap and Shoulder Belt Used"",""None Used""]",Clear,0.0,33.80360804,-84.33358772,Atlanta,DeKalb,,"[""Pedestrian"",""Motor Vehicle in Motion""]",Vision Obscured,"[""Pedestrian"",""Motor Vehicle in Motion""]",Pedestrian
0.0,1.0,Dekalb Co Police Department,2025-04-14,Kingston Trl and Lawrenceville Hwy,(B) Suspected Minor/Visible Injury,Daylight,On Roadway - Non-Intersection,Not a Collision with Motor Vehicle,Lawrenceville Hwy,Dry,10:20:00,"[""None Used"",""Lap and Shoulder Belt Used""]",Clear,0.0,33.81976566,-84.26504202,Unincorporated,DeKalb,,"[""Pedestrian"",""Motor Vehicle in Motion""]","[""Under the Influence (U.I.)"",""Other Unit Contributed to Crash""]","[""Pedestrian"",""Motor Vehicle in Motion""]",Pedestrian
0.0,1.0,Atlanta Police Department,2025-04-16,Memorial Dr Se and Wilkinson Dr Se,(B) Suspected Minor/Visible Injury,Daylight,On Roadway - In Crosswalk,Not a Collision with Motor Vehicle,Memorial Dr Se,Dry,09:30:00,Unknown,Clear,0.0,33.74745083,-84.32858989,Atlanta,DeKalb,,"[""Pedestrian"",""Pedestrian""]","[""Failure to Yield"",""Other Unit Contributed to Crash""]","[""Motor Vehicle in Motion"",""Pedestrian""]",Pedestrian
0.0,0.0,Decatur Police Department,2025-04-17,Church St and E Trinity Pl,(C) Possible Injury / Complaint,Daylight,On Roadway - Roadway Intersection,Not a Collision with Motor Vehicle,E Trinity Pl,Dry,12:11:00,Lap and Shoulder Belt Used,Clear,0.0,33.7728467,-84.294931,Decatur,DeKalb,,"[""Motor Vehicle in Motion"",""Pedestrian""]",Disregard Other Traffic Control,"[""Motor Vehicle in Motion"",""Pedestrian""]",Pedestrian
1.0,0.0,Dekalb Co Police Department,2025-04-25,Elgin Dr and Columbia Dr,(A) Suspected Serious Injury,Daylight,On Roadway - Roadway Intersection,Not a Collision with Motor Vehicle,Columbia Dr,Dry,07:34:00,Unknown,Clear,0.0,33.73629656,-84.25200271,Unincorporated,DeKalb,,"[""Motor Vehicle in Motion"",""Pedestrian""]","[""Occupant Distraction (Distracted)"",""Other Unit Contributed to Crash""]","[""Motor Vehicle in Motion"",""Pedestrian""]",Pedestrian
1.0,0.0,Dekalb Co Police Department,2025-05-02,Ponce De Leon Ave and S Ponce De Leon Ave,(A) Suspected Serious Injury,Daylight,On Roadway - Roadway Intersection,Not a Collision with Motor Vehicle,Ponce De Leon Ave,Dry,19:02:00,"[""None Used"",""Lap and Shoulder Belt Used""]",Clear,0.0,33.77211454,-84.32705971,Unincorporated,DeKalb,,"[""Motor Vehicle in Motion"",""Pedestrian""]","[""Failure to Yield"",""Other Unit Contributed to Crash""]","[""Motor Vehicle in Motion"",""Pedestrian""]",Pedestrian
0.0,0.0,Dekalb Co Police Department,2025-05-05,Memorial Dr and Kensington Rd,(K) Fatal Injury,Dark-Lighted,On Roadway - Roadway Intersection,Sideswipe-Same Direction,Memorial Dr,Dry,23:06:00,"[""Unknown"",""Reflective: Clothing/Backpack/Equipment""]",Clear,1.0,33.77206905,-84.24948849,Unincorporated,DeKalb,,"[""Motor Vehicle in Motion"",""Work Zone/Maintenance Equipment"",""Parked Motor Vehicle""]","[""Changed Lanes Improperly"",""Other Unit Contributed to Crash"",""Other Unit Contributed to Crash""]","[""Motor Vehicle in Motion"",""Pedestrian"",""Parked Motor Vehicle""]",Pedestrian
1.0,0.0,Atlanta Police Department,2025-05-14,Carter Ave Se and Hosea L Williams Dr Se,(A) Suspected Serious Injury,Dark-Not Lighted,On Roadway - Non-Intersection,Not a Collision with Motor Vehicle,Hosea L Williams Dr Se,Dry,22:07:00,"[""Unknown"",""Unknown""]",Clear,0.0,33.75102938,-84.30460084,Atlanta,DeKalb,,"[""Pedestrian"",""Pedestrian""]",,"[""Pedestrian"",""Pedestrian""]",Pedestrian
0.0,0.0,Atlanta Police Department,2025-05-16,Memorial Dr Se and Wilkinson Dr Se,(C) Possible Injury / Complaint,Daylight,On Roadway - In Crosswalk,Not a Collision with Motor Vehicle,Wilkinson Dr Se,Dry,07:35:00,"[""Unknown"",""None Used""]",Clear,0.0,33.74745069,-84.32865088,Atlanta,DeKalb,,"[""Motor Vehicle in Motion"",""Pedestrian""]","[""Disregard Other Traffic Control"",""Other Unit Contributed to Crash""]","[""Pedestrian"",""Pedestrian""]",Pedestrian
0.0,1.0,Clarkston Police Department,2025-05-20,. and Debelle Street,(B) Suspected Minor/Visible Injury,Daylight,On Roadway - Non-Intersection,Not a Collision with Motor Vehicle,Debelle Street,Dry,20:15:00,Unknown,Clear,0.0,33.8038862,-84.24093067,Clarkston,DeKalb,,"[""Pedestrian"",""Motor Vehicle in Motion""]",Failure to Yield,"[""Pedestrian"",""Motor Vehicle in Motion""]",Pedestrian
1.0,0.0,Dekalb Co Police Department,2025-05-28,Covington Dr and Covington Hwy,(A) Suspected Serious Injury,Dark-Lighted,On Roadway - Non-Intersection,Not a Collision with Motor Vehicle,Covington Hwy,Dry,21:40:00,None Used,Cloudy,0.0,33.7625069,-84.24947964,Unincorporated,DeKalb,,"[""Pedestrian"",""Motor Vehicle in Motion""]",,"[""Pedestrian"",""Motor Vehicle in Motion""]",Pedestrian
1.0,0.0,Dekalb Co Police Department,2025-06-07,Memorial Dr and Covington Hwy,(A) Suspected Serious Injury,Dark-Not Lighted,Off Roadway - Sidewalk,Not a Collision with Motor Vehicle,Memorial Dr,Dry,21:50:00,"[""Lap and Shoulder Belt Used"",""Unknown""]",Clear,0.0,33.77025,-84.2505256,Unincorporated,DeKalb,,"[""Motor Vehicle in Motion"",""Pedestrian""]","[""Driver Lost Control - Impairment Related"",""Under the Influence (U.I.)"",""Other Unit Contributed to Crash""]","[""Motor Vehicle in Motion"",""Pedestrian""]",Pedestrian
0.0,0.0,Decatur Police Department,2025-06-17,Robin St and Commerce Dr,(O) No Injury,Daylight,On Shoulder,Not a Collision with Motor Vehicle,Commerce Dr,Dry,11:44:00,Lap and Shoulder Belt Used,Clear,0.0,33.77162458,-84.29888112,Decatur,DeKalb,,"[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Improper Backing,"[""Pedestrian"",""Pedestrian""]",Pedestrian
0.0,1.0,Decatur Police Department,2025-06-21,Commerce Dr and Clairemont Ave,(B) Suspected Minor/Visible Injury,Daylight,On Roadway - Roadway Intersection,Head On,Commerce Dr,Dry,15:20:00,Lap and Shoulder Belt Used,Clear,0.0,33.77791145,-84.29642523,Decatur,DeKalb,,"[""Motor Vehicle in Motion"",""Pedestrian""]",Failure to Yield,"[""Motor Vehicle in Motion"",""Pedestrian""]",Pedestrian
0.0,0.0,Dekalb Co Police Department,2025-06-24,N Decatur Rd and Dekalb Industrial Way,(C) Possible Injury / Complaint,Daylight,On Roadway - Driveway Intersection,Not a Collision with Motor Vehicle,Dekalb Industrial Way,Dry,15:00:00,Lap and Shoulder Belt Used,Clear,0.0,33.79398957,-84.27646812,Unincorporated,DeKalb,,"[""Motor Vehicle in Motion"",""Pedestrian""]","[""Disregard Other Traffic Control"",""Other Unit Contributed to Crash""]","[""Pedestrian"",""Pedestrian""]",Pedestrian
0.0,0.0,Dekalb Co Police Department,2025-06-28,I 285 and E Ponce De Leon Ave,(K) Fatal Injury,Dark-Not Lighted,On Roadway - Non-Intersection,Not a Collision with Motor Vehicle,I 285,Dry,23:05:00,"[""Unknown"",""Lap and Shoulder Belt Used""]",Clear,1.0,33.80402363,-84.25012701,Clarkston,DeKalb,,"[""Pedestrian"",""Pedestrian""]",Under the Influence (U.I.),"[""Pedestrian"",""Pedestrian""]",Pedestrian
0.0,0.0,Dekalb Co Police Department,2025-07-04,Clifton Rd and Briarcliff Rd,(C) Possible Injury / Complaint,Daylight,On Roadway - In Crosswalk,Not a Collision with Motor Vehicle,Clifton Rd,Dry,09:49:00,"[""Lap and Shoulder Belt Used"",""None Used""]",Clear,0.0,33.80613032,-84.33601934,Unincorporated,DeKalb,,"[""Pedestrian"",""Motor Vehicle in Motion""]","[""Failure to Yield"",""Other Unit Contributed to Crash""]","[""Pedestrian"",""Motor Vehicle in Motion""]",Pedestrian
0.0,1.0,Atlanta Police Department,2025-07-07,Mclendon Ave Ne and Candler Park Dr Ne,(B) Suspected Minor/Visible Injury,Daylight,On Roadway - In Crosswalk,Not a Collision with Motor Vehicle,Candler Park Dr Ne,Dry,12:55:00,"[""Unknown"",""Unknown""]",Clear,0.0,33.76485587,-84.33942426,Atlanta,DeKalb,,"[""Pedestrian"",""Pedestrian""]","[""Inattentive or Other Distraction (Distracted)"",""Other Unit Contributed to Crash""]","[""Motor Vehicle in Motion"",""Pedal-Cycle""]",Pedestrian
