# Serious Injuries,# Visible Injuries,Agency Name (Crash Level) ,Date,Intersection Name (from Crash Report),KABCO Severity,Light Conditions (Crash Level),Location at Impact (Crash Level) ,Manner of Collision (Crash Level) ,Roadway (From Crash Report),Surface Condition (Crash Level) ,Time,Safety Equipment (Crash Level) ,Weather Conditions (Crash Level),# of Fatalities per Crash,Latitude,Longitude,Geolocated City,Geolocated County,Vehicle Condition (excluding No Known Defects),First Harmful Event (Unit Order),"Operator/Pedestrian Contrib Factor (excl None, Other, No Contrib Factors)",Most Harmful Event (Crash Level),crash_mode
0.0,2.0,Emory Police Department,2024-04-16,Dickey Dr Ne and Eagle Row Ne,(B) Suspected Minor/Visible Injury,Daylight,On Roadway - In Crosswalk,Not a Collision with Motor Vehicle,Eagle Row Ne,Dry,14:50:00,"[""None Used"",""None Used"",""None Used""]",Clear,0.0,33.79167155,-84.32756581,Atlanta,DeKalb,,"[""Pedestrian"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Failure to Yield,"[""Pedestrian"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Pedestrian
0.0,0.0,Atlanta Police Department,2024-04-18,Noble Dr Ne and Johnson Rd Ne,(O) No Injury,Daylight,On Roadway - Roadway Intersection,Rear End,Johnson Rd Ne,Dry,08:00:00,"[""Unknown"",""Unknown""]",Clear,0.0,33.80254826,-84.34120671,Atlanta,DeKalb,,"[""Pedestrian"",""Pedestrian""]",Following Too Close,"[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Pedestrian
0.0,0.0,Dekalb Co Police Department,2024-05-02,Kensington Parc Cir and Kensington Parc Way,(K) Fatal Injury,Daylight,On Roadway - Non-Intersection,Not a Collision with Motor Vehicle,Kensington Parc Way,Dry,19:17:00,"[""Unknown"",""Unknown""]",Clear,1.0,33.78144457,-84.24987782,Unincorporated,DeKalb,,"[""Pedestrian"",""Pedestrian""]",,"[""Pedestrian"",""Pedestrian""]",Pedestrian
0.0,0.0,Clarkston Police Department,2024-05-05,Montreal Rd and North Indian Creek Dr,(C) Possible Injury / Complaint,Daylight,On Roadway - Roadway Intersection,Not a Collision with Motor Vehicle,Montreal Rd,Dry,12:12:00,"[""Lap and Shoulder Belt Used"",""None Used""]",Clear,0.0,33.81174805,-84.24163967,Clarkston,DeKalb,,"[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Failure to Yield,"[""Pedestrian"",""Pedestrian""]",Pedestrian
0.0,1.0,Clarkston Police Department,2024-05-05,Montreal Rd and Clarkston Industrial Blvd,(B) Suspected Minor/Visible Injury,Dark-Lighted,On Roadway - Non-Intersection,Not a Collision with Motor Vehicle,Clarkston Industrial Blvd,Dry,03:45:00,Unknown,Clear,0.0,33.81767169,-84.24466281,Clarkston,DeKalb,,"[""Motor Vehicle in Motion"",""Pedestrian""]","[""Disregard Other Traffic Control"",""Wrong Side of Road"",""Improper Passing""]","[""Pedestrian"",""Pedestrian""]",Pedestrian
0.0,0.0,Dekalb Co Police Department,2024-05-21,N Decatur Rd and Dekalb Industrial Way,(O) No Injury,Daylight,On Roadway - In Crosswalk,Not a Collision with Motor Vehicle,N Decatur Rd,Dry,18:35:00,"[""Unknown"",""Unknown""]",Clear,0.0,33.79383052,-84.27645608,Unincorporated,DeKalb,,"[""Pedestrian"",""Motor Vehicle in Motion""]","[""Failure to Yield"",""Other Unit Contributed to Crash""]","[""Pedestrian"",""Motor Vehicle in Motion""]",Pedestrian
0.0,1.0,Decatur Police Department,2024-05-22,Ponce De Leon Place and W Ponce De Leon Ave,(B) Suspected Minor/Visible Injury,Daylight,On Roadway - In Crosswalk,Not a Collision with Motor Vehicle,W Ponce De Leon Ave,Dry,12:05:00,Lap and Shoulder Belt Used,Clear,0.0,33.77561377,-84.30106661,Decatur,DeKalb,,"[""Pedestrian"",""Other/Unknown""]",Failure to Yield,"[""Pedestrian"",""Pedestrian""]",Pedestrian
0.0,1.0,Dekalb Co Police Department,2024-05-23,Valley Brook Rd and E Ponce De Leon Ave,(B) Suspected Minor/Visible Injury,Daylight,On Roadway - In Crosswalk,Not a Collision with Motor Vehicle,Valley Brook Rd,Dry,15:30:00,"[""Unknown"",""None Used""]",Clear,0.0,33.79509048,-84.26297675,Unincorporated,DeKalb,,"[""Pedestrian"",""Motor Vehicle in Motion""]",Failure to Yield,"[""Motor Vehicle in Motion"",""Pedestrian""]",Pedestrian
0.0,0.0,Decatur Police Department,2024-05-24,Commerce Dr and W Ponce De Leon Ave,(C) Possible Injury / Complaint,Daylight,On Roadway - Roadway Intersection,Angle Crash,W Ponce De Leon Ave,Dry,00:00:00,Lap and Shoulder Belt Used,Clear,0.0,33.77556287,-84.29886206,Decatur,DeKalb,,"[""Motor Vehicle in Motion"",""Pedestrian""]",Failure to Yield,"[""Motor Vehicle in Motion"",""Pedestrian""]",Pedestrian
0.0,1.0,Decatur Police Department,2024-06-19,Commerce Dr and W Trinity Pl,(B) Suspected Minor/Visible Injury,Daylight,On Roadway - Roadway Intersection,Not a Collision with Motor Vehicle,Commerce Dr,Dry,13:56:00,Lap and Shoulder Belt Used,Cloudy,0.0,33.77356396,-84.29884381,Decatur,DeKalb,,"[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Failure to Yield"",""Disregard Other Traffic Control""]","[""Pedestrian"",""Pedestrian""]",Pedestrian
