station_complex_id,station_complex,borough,ridership,transfers,lat,lon,daily_avg,transfer_ratio
316,50 St (1),Manhattan,355267.0,2364.0,40.761726,-73.98385,18698.263157894737,0.007
228,"23 St (F,M)",Manhattan,353983.0,6864.0,40.742878,-73.99282,18630.684210526317,0.019
451,Junction Blvd (7),Queens,352696.0,12881.0,40.749146,-73.86953,18562.947368421053,0.037
622,"Brooklyn Bridge-City Hall/Chambers St (4,5,6,J,Z)",Manhattan,352554.0,2412.0,40.713154,-74.00377,18555.473684210527,0.007
162,"50 St (C,E)",Manhattan,346210.0,2681.0,40.762455,-73.985985,18221.57894736842,0.008
399,68 St-Hunter College (6),Manhattan,335704.0,12255.0,40.768143,-73.96387,17668.63157894737,0.037
26,"DeKalb Av (B,Q,R)",Brooklyn,333228.0,16855.0,40.690636,-73.98183,17538.315789473683,0.051
231,"Grand St (B,D)",Manhattan,325726.0,4433.0,40.718266,-73.99375,17143.473684210527,0.014
345,"Crown Hts-Utica Av (3,4)",Brooklyn,312764.0,46961.0,40.668896,-73.932945,16461.263157894737,0.15
630,"Myrtle-Wyckoff Avs (M,L)",Brooklyn,311100.0,31245.0,40.699623,-73.91199,16373.684210526315,0.1
392,"125 St (4,5,6)",Manhattan,309951.0,26772.0,40.80414,-73.93759,16313.21052631579,0.086
314,66 St-Lincoln Center (1),Manhattan,309299.0,10944.0,40.77344,-73.98221,16278.894736842105,0.035
165,"23 St (C,E)",Manhattan,299385.0,8105.0,40.745907,-73.99804,15757.105263157895,0.027
259,"Kew Gardens-Union Tpke (E,F)",Queens,293752.0,126907.0,40.71444,-73.83101,15460.631578947368,0.432
151,"145 St (A,C,B,D)",Manhattan,293079.0,6586.0,40.824783,-73.944214,15425.21052631579,0.022
605,"168 St-Washington Hts (1,A,C)",Manhattan,287334.0,4441.0,40.840637,-73.93985,15122.842105263158,0.015
404,28 St (6),Manhattan,272107.0,1313.0,40.74307,-73.98426,14321.421052631578,0.005
414,"Bowling Green (4,5)",Manhattan,270592.0,38667.0,40.70482,-74.01407,14241.684210526315,0.143
232,2 Av (F),Manhattan,270566.0,5278.0,40.7234,-73.98994,14240.315789473685,0.02
14,"23 St (R,W)",Manhattan,267817.0,6536.0,40.741302,-73.98934,14095.631578947368,0.024
273,"Queens Plaza (E,F,R)",Queens,266318.0,18352.0,40.748974,-73.93724,14016.736842105263,0.069
464,Vernon Blvd-Jackson Av (7),Queens,265843.0,7460.0,40.742626,-73.95358,13991.736842105263,0.028
450,103 St-Corona Plaza (7),Queens,263900.0,10579.0,40.749866,-73.8627,13889.473684210527,0.04
629,"Metropolitan Av/Lorimer St (G,L)",Brooklyn,261860.0,5999.0,40.71343,-73.95084,13782.105263157895,0.023
333,"Wall St (2,3)",Manhattan,256732.0,904.0,40.70682,-74.0091,13512.21052631579,0.004
264,"Woodhaven Blvd (M,R)",Queens,256628.0,57964.0,40.733105,-73.86923,13506.736842105263,0.226
179,"Nostrand Av (A,C)",Brooklyn,254090.0,16530.0,40.68044,-73.950424,13373.157894736842,0.065
277,"7 Av (E,B,D)",Manhattan,249060.0,964.0,40.762863,-73.981636,13108.421052631578,0.004
