stop_id,stop_name,stop_lat,stop_lon,access_category,access_category_v2,pedestrian_access_score,pas_v2,detour_factor,reach_ratio_5,reach_ratio_10,area_5min_m2,area_10min_m2,intersection_density_km2,dead_end_ratio,circuity,avg_street_len_m,snap_dist_m,pop_5min_crowflies,pop_5min_network,pop_10min_network,access_gap_pct,transit_share,gtfs_routes,gtfs_trips,crashes_200m,crashes_per_1k_10min,pipeline,suppressed_demand,priority_score
107267,SNAPFINGER RD @ GLENMAR DR,33.732,-84.2439,No Infrastructure,No Infrastructure,0.0,0.0,1.2017,0.2717,0.3486,148164.4156,760632.1327,109.0491,0.0,1.0208,89.8561,14.8476,754.9241,205.4082,1042.7675,0.7279,0.0276,1,266,0,0.0,planned,0.0491,0.0
107270,COLUMBIA DR @ COLUMBIA VILLAGE CTR,33.7537,-84.2666,Good,Good,85.0,79.3,1.2659,0.581,0.4492,316905.3408,980072.1611,1086.253,0.0804,1.0656,28.5432,12.3875,574.0848,331.3947,1056.2887,0.4227,0.0646,1,267,6,5.6803,none,0.0395,0.0653
107272,COLUMBIA DR @ HAMILTON RD,33.7519,-84.2655,Poor,Moderate,29.5,46.5,1.2793,0.4048,0.4115,220798.8412,897708.3373,640.2467,0.0708,1.0844,35.5094,16.4168,584.172,231.5479,951.5004,0.6036,0.0646,1,267,2,2.1019,none,0.0797,0.1316
107274,COLUMBIA DR @ BELVEDERE LN,33.7502,-84.2643,No Infrastructure,No Infrastructure,1.4,3.3,1.1431,0.3342,0.4434,182290.3021,967382.7383,584.0846,0.0455,1.101,39.8192,18.1477,593.7305,186.1669,1064.5139,0.6864,0.0646,1,267,2,1.8788,none,0.0725,0.1197
107276,COLUMBIA DR @ CANARY CT,33.7485,-84.2628,No Infrastructure,No Infrastructure,0.0,0.0,1.0635,0.2761,0.3236,150600.3398,705896.2153,305.2052,0.0732,1.1425,51.9658,18.4631,608.9986,161.5235,773.1892,0.7348,0.1302,1,267,0,0.0,none,0.0052,0.0059
107278,COLUMBIA DR @ SANTA MONICA DR,33.7448,-84.2604,No Infrastructure,No Infrastructure,0.0,0.0,1.0849,0.3851,0.3215,210024.3731,701449.6837,209.329,0.1905,1.1774,55.9455,22.3191,601.8871,229.4962,770.007,0.6187,0.0614,1,267,0,0.0,none,0.007,0.0123
107280,COLUMBIA DR @ DERRILL DR,33.7437,-84.2586,No Infrastructure,No Infrastructure,0.0,0.0,1.1097,0.3409,0.3665,185949.8151,799567.0305,155.3842,0.1667,1.0599,54.5489,31.508,605.1476,207.4246,903.3344,0.6572,0.0614,1,267,0,0.0,none,0.0247,0.0434
107281,COLUMBIA DR @ S COLUMBIA PL,33.742,-84.255,Poor,Poor,26.2,34.3,1.2502,0.3135,0.3709,170989.6081,809156.264,343.7252,0.1765,1.3568,47.9715,28.711,648.7311,185.5233,1059.0957,0.714,0.0614,1,267,0,0.0,none,0.1116,0.1958
107284,SNAPFINGER RD @ COLUMBIA DR,33.7331,-84.2515,No Infrastructure,No Infrastructure,0.0,0.0,1.166,0.3337,0.329,182009.8608,717662.8623,126.0082,0.037,1.1398,78.1183,54.5205,858.9793,290.4932,1089.9341,0.6618,0.0276,1,267,2,1.835,planned,0.0393,0.0
107286,SNAPFINGER RD @ HYLAND DR,33.7329,-84.2492,No Infrastructure,No Infrastructure,0.0,0.0,1.3328,0.2678,0.2421,146047.5293,528079.9028,127.3046,0.2,1.0112,78.8626,5.7526,785.5332,208.5205,799.4738,0.7345,0.0276,1,267,0,0.0,planned,0.0351,0.0
