stop_id,stop_name,stop_lat,stop_lon,pedestrian_access_score,pas_v2,access_category,access_category_v2,has_nearby_sidewalk,has_road_sidewalk_tag,sidewalk_length_400m,road_sw_length_400m,crossing_count_200m,dist_nearest_infra_m,crashes_200m,ped_crashes_200m,bike_crashes_200m
107084,PEACHCREST RD @ PHILLIP CIR,33.743005,-84.253142,69.7,63.5,Moderate,Moderate,True,False,777.9,0.0,4,0.5,0,0,0
107086,PEACHCREST RD @ MISTY VALLEY RD,33.741882,-84.253098,67.0,57.8,Moderate,Moderate,True,False,562.9,0.0,8,7.1,0,0,0
107088,PEACHCREST RD @ PHILLIP CIR,33.7431,-84.253242,69.8,60.5,Moderate,Moderate,True,False,785.7,0.0,4,11.4,0,0,0
107090,COLUMBIA DR @ PEACHCREST RD,33.740644,-84.253165,65.1,56.6,Moderate,Moderate,True,False,405.2,0.0,7,1.5,0,0,0
107091,COLUMBIA DR @ PEACHCREST RD,33.741248,-84.253681,65.8,51.3,Moderate,Moderate,True,False,467.2,0.0,7,25.9,0,0,0
107092,COLUMBIA DR @ 1757,33.73935,-84.252784,23.5,31.8,Poor,Poor,False,False,282.8,0.0,4,148.4,5,5,0
107094,COLUMBIA DR @ GLENWOOD RD,33.738763,-84.25229,2.6,6.8,No Infrastructure,No Infrastructure,False,False,210.7,0.0,0,225.0,5,5,0
107096,COLUMBIA DR @ GLENWOOD RD,33.737759,-84.251905,1.4,2.9,No Infrastructure,No Infrastructure,False,False,111.2,0.0,0,341.8,6,6,0
107098,COLUMBIA DR @ GLENWOOD RD,33.736918,-84.25211,0.0,0.0,No Infrastructure,No Infrastructure,False,False,0.0,0.0,0,,6,6,0
107100,COLUMBIA DR @ SPRING LAKE DR,33.73506,-84.252141,0.0,0.0,No Infrastructure,No Infrastructure,False,False,0.0,0.0,0,,1,1,0
107101,COLUMBIA DR @ ELGIN DR,33.736199,-84.25184,0.0,0.0,No Infrastructure,No Infrastructure,False,False,0.0,0.0,0,,3,3,0
107102,COLUMBIA DR @ SPRING LAKE DR,33.734586,-84.251981,0.0,0.0,No Infrastructure,No Infrastructure,False,False,0.0,0.0,0,,1,1,0
107104,COLUMBIA DR @ SNAPFINGER RD,33.73299,-84.25197,0.0,0.0,No Infrastructure,No Infrastructure,False,False,0.0,0.0,0,,2,2,0
107106,COLUMBIA DR @ WICKHAM DR,33.731838,-84.251984,0.0,0.0,No Infrastructure,No Infrastructure,False,False,0.0,0.0,0,,2,2,0
107108,COLUMBIA DR @ HOMERA PL,33.730907,-84.252064,0.0,0.0,No Infrastructure,No Infrastructure,False,False,0.0,0.0,0,,3,3,0
107110,COLUMBIA DR @ HYLAND DR,33.729897,-84.252029,0.0,0.0,No Infrastructure,No Infrastructure,False,False,0.0,0.0,0,,3,3,0
107112,COLUMBIA DR @ IRISH LN,33.728802,-84.251961,0.0,0.0,No Infrastructure,No Infrastructure,False,False,0.0,0.0,0,,1,1,0
107114,COLUMBIA DR @ IRISH LN,33.727697,-84.25185,0.0,0.0,No Infrastructure,No Infrastructure,False,False,0.0,0.0,0,,0,0,0
107116,COLUMBIA DR @ IRISH LN,33.727123,-84.251495,0.0,0.0,No Infrastructure,No Infrastructure,False,False,0.0,0.0,0,,0,0,0
107118,GLENWOOD RD @ THOMAS ST,33.738363,-84.276521,1.7,3.2,No Infrastructure,No Infrastructure,False,False,138.8,0.0,0,365.9,0,0,0
107120,GLENWOOD RD @ WELIKA DR,33.738301,-84.274367,0.0,0.0,No Infrastructure,No Infrastructure,False,False,0.0,0.0,0,,0,0,0
107122,GLENWOOD RD @ MEADOW LN,33.738214,-84.270291,6.7,6.7,No Infrastructure,No Infrastructure,False,False,0.0,0.0,1,,1,1,0
107124,GLENWOOD RD @ HILLSDALE DR,33.738131,-84.267423,6.7,6.7,No Infrastructure,No Infrastructure,False,False,0.0,0.0,1,,1,1,0
107128,GLENWOOD RD @ GLENDALE DR,33.738052,-84.263634,0.0,0.0,No Infrastructure,No Infrastructure,False,False,0.0,0.0,0,,1,1,0
107132,GLENWOOD RD @ SHAMROCK DR,33.73795,-84.25864,0.0,0.0,No Infrastructure,No Infrastructure,False,False,0.0,0.0,0,,1,1,0
107134,GLENWOOD RD @ GLENVALE PL,33.738001,-84.256759,0.0,0.0,No Infrastructure,No Infrastructure,False,False,0.0,0.0,0,,1,1,0
107136,GLENWOOD RD @ COLUMBIA PL,33.737974,-84.255444,1.2,2.5,No Infrastructure,No Infrastructure,False,False,93.9,0.0,0,352.9,2,2,0
107138,GLENWOOD RD @ S COLUMBIA PL,33.737955,-84.254542,1.6,3.5,No Infrastructure,No Infrastructure,False,False,128.7,0.0,0,315.9,3,3,0
107140,GLENWOOD RD @ COLUMBIA DR,33.737861,-84.252192,1.6,3.4,No Infrastructure,No Infrastructure,False,False,128.7,0.0,0,322.5,6,6,0
107142,GLENWOOD RD @ 4115,33.737876,-84.24996,0.0,0.0,No Infrastructure,No Infrastructure,False,False,0.0,0.0,0,,2,2,0
107146,GLENWOOD RD @ GLENMAR DR,33.73768,-84.244053,5.7,15.6,No Infrastructure,Poor,False,False,456.6,0.0,0,137.4,4,4,0
107150,GLENWOOD RD @ MISTY VALLEY RD,33.737878,-84.246042,5.7,10.0,No Infrastructure,No Infrastructure,False,False,456.6,0.0,0,269.5,1,1,0
107155,GLENWOOD RD @ 4100,33.737956,-84.24928,0.0,0.0,No Infrastructure,No Infrastructure,False,False,0.0,0.0,0,,1,1,0
107156,GLENWOOD RD @ COLUMBIA DR,33.737962,-84.251748,1.6,3.4,No Infrastructure,No Infrastructure,False,False,128.7,0.0,0,326.3,6,6,0
107158,GLENWOOD RD @ S COLUMBIA PL,33.738057,-84.254407,1.7,3.9,No Infrastructure,No Infrastructure,False,False,137.7,0.0,0,300.9,3,3,0
107160,GLENWOOD RD @ GLENVALE PL,33.738103,-84.256977,0.0,0.0,No Infrastructure,No Infrastructure,False,False,0.0,0.0,0,,1,1,0
107162,GLENWOOD RD @ DERRILL DR,33.738125,-84.258912,0.0,0.0,No Infrastructure,No Infrastructure,False,False,0.0,0.0,0,,1,1,0
107164,GLENWOOD RD @ PARKHILL DR,33.738151,-84.261297,0.0,0.0,No Infrastructure,No Infrastructure,False,False,0.0,0.0,0,,2,2,0
107166,GLENWOOD RD @ GLENDALE DR,33.738148,-84.263324,0.0,0.0,No Infrastructure,No Infrastructure,False,False,0.0,0.0,0,,1,1,0
107170,GLENWOOD RD @ SANTA CRUZ DR,33.738262,-84.267272,6.7,6.7,No Infrastructure,No Infrastructure,False,False,0.0,0.0,1,,1,1,0
107172,GLENWOOD RD @ MEADOW LN,33.738338,-84.270233,6.7,6.7,No Infrastructure,No Infrastructure,False,False,0.0,0.0,1,,1,1,0
107174,GLENWOOD RD @ WELIKA DR,33.73842,-84.273706,0.0,0.0,No Infrastructure,No Infrastructure,False,False,0.0,0.0,0,,0,0,0
107230,S COLUMBIA DR @ MIDWAY RD,33.75562,-84.269204,85.0,87.7,Good,Good,True,False,4453.9,152.9,14,0.4,5,5,0
107232,COLUMBIA DR @ MEMORIAL DR,33.754977,-84.26813,85.0,84.5,Good,Good,True,False,3918.2,0.0,15,1.7,6,6,0
107234,COLUMBIA DR @ MEMORIAL DR,33.754789,-84.267407,85.0,84.5,Good,Good,True,False,3699.9,0.0,19,1.7,6,6,0
107236,COLUMBIA DR @ COLUMBIA VILLAGE CTR,33.753674,-84.266411,85.0,83.6,Good,Good,True,False,2503.1,0.0,10,4.9,6,6,0
107238,COLUMBIA DR @ HAMILTON RD,33.752127,-84.265359,31.7,51.6,Poor,Moderate,False,False,936.5,0.0,3,68.1,2,2,0
107240,COLUMBIA DR @ ROBIN RD,33.749845,-84.263746,0.5,1.5,No Infrastructure,No Infrastructure,False,False,37.5,0.0,0,362.1,2,2,0
107246,COLUMBIA DR @ CANARY CT,33.748256,-84.262407,0.0,0.0,No Infrastructure,No Infrastructure,False,False,0.0,0.0,0,,0,0,0
107248,COLUMBIA DR @ BOBOLINK DR,33.747269,-84.261893,0.0,0.0,No Infrastructure,No Infrastructure,False,False,0.0,0.0,0,,0,0,0
107250,COLUMBIA DR @ SANTA MONICA DR,33.744949,-84.260264,0.0,0.0,No Infrastructure,No Infrastructure,False,False,0.0,0.0,0,,0,0,0
107254,COLUMBIA DR @ COLUMBIA CIR,33.743502,-84.258019,0.0,0.0,No Infrastructure,No Infrastructure,False,False,0.0,0.0,0,,0,0,0
107256,COLUMBIA DR @ MCKENZIE DR,33.743074,-84.257303,2.3,3.8,No Infrastructure,No Infrastructure,False,False,183.1,0.0,0,386.3,0,0,0
107258,COLUMBIA DR @ COLUMBIA PL,33.742298,-84.255498,6.3,12.2,No Infrastructure,No Infrastructure,False,False,500.1,0.0,0,217.4,0,0,0
107260,COLUMBIA DR @ PEACHCREST RD,33.741489,-84.253653,66.2,48.8,Moderate,Moderate,True,False,494.5,0.0,8,39.7,0,0,0
107262,SNAPFINGER RD @ COLUMBIA DR,33.733182,-84.251112,0.0,0.0,No Infrastructure,No Infrastructure,False,False,0.0,0.0,0,,1,1,0
107266,SNAPFINGER RD @ LA MESA LN,33.732462,-84.246191,0.0,0.0,No Infrastructure,No Infrastructure,False,False,0.0,0.0,0,,0,0,0
107267,SNAPFINGER RD @ GLENMAR DR,33.732027,-84.243938,0.0,0.0,No Infrastructure,No Infrastructure,False,False,0.0,0.0,0,,0,0,0
107270,COLUMBIA DR @ COLUMBIA VILLAGE CTR,33.753697,-84.266636,85.0,79.3,Good,Good,True,False,2602.3,0.0,11,21.1,6,6,0
107272,COLUMBIA DR @ HAMILTON RD,33.751943,-84.265489,29.5,46.5,Poor,Moderate,False,False,761.3,0.0,3,82.4,2,2,0
107274,COLUMBIA DR @ BELVEDERE LN,33.75018,-84.264256,1.4,3.3,No Infrastructure,No Infrastructure,False,False,111.7,0.0,0,306.9,2,2,0
107276,COLUMBIA DR @ CANARY CT,33.748455,-84.262793,0.0,0.0,No Infrastructure,No Infrastructure,False,False,0.0,0.0,0,,0,0,0
107278,COLUMBIA DR @ SANTA MONICA DR,33.744815,-84.260384,0.0,0.0,No Infrastructure,No Infrastructure,False,False,0.0,0.0,0,,0,0,0
107280,COLUMBIA DR @ DERRILL DR,33.7437,-84.258639,0.0,0.0,No Infrastructure,No Infrastructure,False,False,0.0,0.0,0,,0,0,0
107281,COLUMBIA DR @ S COLUMBIA PL,33.741963,-84.254988,26.2,34.3,Poor,Poor,False,False,497.2,0.0,6,168.4,0,0,0
107284,SNAPFINGER RD @ COLUMBIA DR,33.733126,-84.251512,0.0,0.0,No Infrastructure,No Infrastructure,False,False,0.0,0.0,0,,2,2,0
107286,SNAPFINGER RD @ HYLAND DR,33.732946,-84.24923,0.0,0.0,No Infrastructure,No Infrastructure,False,False,0.0,0.0,0,,0,0,0
107288,SNAPFINGER RD @ WILLAMETTE WAY,33.732319,-84.245946,0.0,0.0,No Infrastructure,No Infrastructure,False,False,0.0,0.0,0,,0,0,0
107290,SNAPFINGER RD @ GLENMAR DR,33.731987,-84.244266,0.0,0.0,No Infrastructure,No Infrastructure,False,False,0.0,0.0,0,,0,0,0
107294,MEMORIAL DR @ COLUMBIA DR,33.755371,-84.267212,85.0,83.8,Good,Good,True,False,3849.9,0.0,17,4.1,6,6,0
107296,MEMORIAL DR @ 3480,33.753217,-84.270606,85.0,83.9,Good,Good,True,False,2733.7,0.0,6,3.7,1,1,0
107304,MEMORIAL DR @ CARTER RD,33.750158,-84.275756,79.3,76.9,Good,Good,True,False,1541.4,0.0,9,0.4,2,2,0
107306,MEMORIAL DR @ RUPERT RD,33.750649,-84.274663,79.0,73.6,Good,Good,True,False,1518.6,0.0,9,10.6,2,2,0
107308,MEMORIAL DR @ BELVEDERE PLAZA,33.752665,-84.271056,85.0,84.7,Good,Good,True,False,2302.6,0.0,9,0.9,1,1,0
107314,PEACHCREST RD @ LONGLEAF DR,33.7472,-84.251617,68.6,60.3,Moderate,Moderate,True,False,685.1,0.0,3,6.0,0,0,0
107318,COLUMBIA DR @ MCKENZIE DR,33.742982,-84.257523,0.0,0.0,No Infrastructure,No Infrastructure,False,False,0.0,0.0,0,,0,0,0
107320,COLUMBIA DR @ SNAPFINGER RD,33.733417,-84.252207,0.0,0.0,No Infrastructure,No Infrastructure,False,False,0.0,0.0,0,,0,0,0
107322,COLUMBIA DR @ HYLAND DR,33.730118,-84.252287,0.0,0.0,No Infrastructure,No Infrastructure,False,False,0.0,0.0,0,,3,3,0
107328,GLENWOOD RD @ FARRIS DR,33.738042,-84.261669,0.0,0.0,No Infrastructure,No Infrastructure,False,False,0.0,0.0,0,,2,2,0
107332,COLUMBIA DR @ BOBOLINK DR,33.747362,-84.26234,0.0,0.0,No Infrastructure,No Infrastructure,False,False,0.0,0.0,0,,0,0,0
107334,PEACHCREST RD @ ORCHARD CIR,33.75393,-84.250222,0.0,0.0,No Infrastructure,No Infrastructure,False,False,0.0,0.0,0,,0,0,0
107336,PEACHCREST RD @ MISTY VALLEY RD,33.741948,-84.253268,67.2,57.4,Moderate,Moderate,True,False,573.1,0.0,8,9.0,0,0,0
107338,COLUMBIA DR @ MCAFEE RD,33.731643,-84.252239,0.0,0.0,No Infrastructure,No Infrastructure,False,False,0.0,0.0,0,,2,2,0
107346,MEMORIAL DR @ COLUMBIA DR,33.754236,-84.268627,85.0,83.3,Good,Good,True,False,3475.5,0.0,12,5.9,6,6,0
107348,SNAPFINGER RD @ DR CRAWFORD LEWIS DR,33.732732,-84.24776,0.0,0.0,No Infrastructure,No Infrastructure,False,False,0.0,0.0,0,,0,0,0
107350,SNAPFINGER RD @ DR CRAWFORD LEWIS DR,33.732859,-84.247953,0.0,0.0,No Infrastructure,No Infrastructure,False,False,0.0,0.0,0,,0,0,0
108002,GLENWOOD RD @ HOLLYHOCK TER,33.737598,-84.241977,5.7,14.7,No Infrastructure,No Infrastructure,False,False,456.6,0.0,0,150.4,4,4,0
108050,GLENWOOD RD @ HOLLYHOCK TER,33.73773,-84.24174,5.7,14.3,No Infrastructure,No Infrastructure,False,False,456.6,0.0,0,156.2,4,4,0
108112,SNAPFINGER RD @ CHESTNUT HILL CIR,33.73146,-84.241496,0.0,0.0,No Infrastructure,No Infrastructure,False,False,0.0,0.0,0,,0,0,0
108118,SNAPFINGER RD @ CHESTNUT HILL CIR (W),33.731415,-84.241641,0.0,0.0,No Infrastructure,No Infrastructure,False,False,0.0,0.0,0,,0,0,0
